key,status,source_url,source_locator,cited_claim,reviewer,checked_on,bib_sha256,manuscript_sha256
Young26,verified,https://arxiv.org/abs/2603.27015; https://arxiv.org/html/2603.27015v1,"arXiv metadata and v1; sections 3.1-3.4, especially Definitions 3.3-3.6; Related Work R.2",著者・題名・識別子・第1版の日付を確認。プログラム部分構造のsiteと、完全束値の意味的前層の提案を原文で照合。引用は入力・方法の提案に限定し、論文の一般的なH1判定や形式化・実験の正しさを承認するものとはしない。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
CC77,verified,https://www.di.ens.fr/~cousot/COUSOTpapers/POPL77.shtml; https://www.di.ens.fr/~cousot/publications.www/CousotCousot-POPL-77-ACM-p238--252-1977.pdf,"Author bibliography and original scanned article, sections 5-7, printed pp. 240-243; Related Work R.3",著者・題名・会議・年・頁を著者書誌で確認。原論文のスキャン画像を読み、完全束による抽象領域、抽象化・具体化の関係、局所的な意味操作の近似から大域的な不動点の正しさを導く構成を照合した。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
GRS00,verified,https://doi.org/10.1145/333979.333989; https://www.sci.unich.it/~scozzari/paper/JACM00.pdf,"Published article section 3, printed p. 372; Related Work R.3",書誌を確認。抽象化と意味操作の可換性としてのcompleteness、不動点の結果についてのfixpoint completeness、その強さの違いを本文で照合した。領域completionの一般存在・最小性については引用していない。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
SSVW17,verified,https://arxiv.org/abs/1602.03501; https://arxiv.org/pdf/1602.03501v3,"arXiv metadata and v3 dated 2025-01-16; section 6.19, Definition 7.1, Propositions 7.3-7.4; Definition 8.13, Proposition 8.14, Lemma 8.18, sections 8.25-8.26 and 9; Appendix B.1-B.3; Related Work R.4 and R.6",entity・型代数・値の割当てを備えたinstanceと射、schema mappingに沿う制限と左右随伴。schema・instance・移送・queryを共通の二重圏で扱い、移送とqueryの評価をその構造の合成や随伴で記述する体系。Appendix B.1-B.3は構文の射と意味の射の忠実性に関する訂正であり、表示から射を構成することと射を区別することを比較する根拠となる。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
Shulman08,verified,https://tac.mta.ca/tac/volumes/20/18/20-18abs.html; https://tac.mta.ca/tac/volumes/20/18/20-18.pdf,"Publisher metadata; section 13, Definition 13.11, printed p. 706; Related Work R.4",書誌を出版社で確認。再添字づけの可換性から単位・余単位によってmateを作る構成と、その可逆性としてのBeck-Chevalley条件を照合した。AAT全体をframed bicategoryと同定する主張は行っていない。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
BS81,verified,https://doi.org/10.1145/319628.319634; https://www.inf.unibz.it/franconispace/lib/exe/fetch.php?media=organisation%3Asakt%3A2013%3A5.pdf,"Published article, sections 3-5 and 7, Definitions 3.2-3.3 and 4.4, Theorems 5.6 and 7.1; Related Work R.5",complementの定義と、それを固定するtranslationの存在時の一意性。更新族が合成で閉じ、各状態で更新を打ち消す更新を含み、全更新が固定complementを保って持ち上がるなら、そのtranslationは合成を保つtranslatorをなす。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
JRW12,verified,https://doi.org/10.1017/S0960129511000442; https://mta.ca/~rrosebru/articles/Lens2Cambridge.pdf,"Sections 2-4, Definitions 2.6 and 3.1, Propositions 3.1-3.2, Remark 4.1, Corollary 4.1 and Proposition 4.3; Related Work R.5",著者・題名・掲載誌・巻号頁・2012年とオンライン公開2011年を確認。有限積とviewから終対象への射の分裂を仮定するlensとcomplementの圏同値、categorical lensとsplit opfibration、普遍的translationの条件を本文で照合した。集合上の積表示とcategorical lensの結果を分けて引用した。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
Lawvere63,verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC221940/; https://doi.org/10.1073/pnas.50.5.869; https://www.sas.rochester.edu/mth/sites/doug-ravenel/otherpapers/lawvere.pdf,"PNAS article, pp. 869-870; Related Work R.6",公式書誌と原論文を照合。1963年の博士論文の要約に当たるPNAS論文を参照原典として採用し、理論の圏、積を保つ関手としての代数、自然変換としての準同型を確認した。収録案の学位論文再録から書誌・本文リンクを変更した。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
BW85,verified,https://tac.mta.ca/tac/reprints/articles/12/tr12.pdf,"Reprint front matter and Chapter 4, section 1.2; Related Work R.6",1985年の原著と2005年再録の書誌を確認。sketchのグラフ・指定恒等・図式・錐、モデルでの可換性と極限、モデル準同型を定義箇所で照合した。本稿の局所モデルを特定のsketchと同定したという主張は加えていない。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
Kelly82,verified,https://tac.mta.ca/tac/reprints/articles/10/tr10abs.html; https://www.sas.rochester.edu/mth/sites/doug-ravenel/otherpapers/kelly-book.pdf,"Reprint metadata; section 5.8, Theorem 5.36, printed pp. 100-101; Related Work R.6",1982年の原著と2005年再録の書誌を確認。集合で豊穣化された場合のsmall projectiveと表現可能前層のretractの同定、Cauchy completionと冪等射の分裂の関係を照合し、引用文の範囲を通常の圏の場合に固定した。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
BMW12,verified,https://doi.org/10.1016/j.jpaa.2012.02.039; https://math.univ-cotedazur.fr/~cberger/arities.pdf,"Author manuscript, Theorem 1.10; Related Work R.6",著者・題名・2012年掲載誌巻頁・DOIを確認。dense generatorとmonad with aritiesの条件、代数のnerveの充満忠実性、制限による本質的像の特徴づけを定理1.10で照合した。AATへの直接適用を主張せず、分離と実現可能性という比較軸に用いた。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
BIAN9,verified,https://bian.org/wp-content/uploads/2024/12/BIAN-Service-Landscape-V9_0-Value-Chain-View.pdf,"p. 1; BIAN Service Domain Landscape version 9.0, Value Chain View; Current Account, Payment Execution, Financial Accounting; ja/11-local-reconstruction.md section 8.6",BIAN公式公開図表の題名・版番号と口座管理・支払実行・会計の業務区分を確認。図表には刊行年の記載を確認できないため、版番号で同定する。引用は業務領域の分担の参照に限定する。行内送金のBool読み取り、完了のLaw、残差とAATの再構成への適用は本論文の説明例として定める。,Codex (GPT-6),2026-09-21,169768f62786cc80f94fe91d4012060309c601168850dbe9004dacda4ffc1e87,269bcf62346e3d13c789c2f4cc57caeb8ae1beae8afe70ac3e414eaec3d7d391
